Task_ID,Step_No,Task,Role,dispatch_date,O_Days,M_Days,P_Days,Use_PERT,Effort_Days,Notes,milestones
147,46,3.2.S.3 Drug Substance: Characterisation section,Regulatory CMC,450,350,350,350,Y,6.0,Details physicochemical and biological characterisation,0
148,46,3.2.S.3 Drug Substance: Characterisation section,Regulatory Operations,450,350,350,350,Y,6.0,Details physicochemical and biological characterisation,0
149,46,3.2.S.3 Drug Substance: Characterisation section,Regulatory Strategist (Global/EU),450,350,350,350,Y,6.0,Details physicochemical and biological characterisation,0
150,47,3.2.S.4 Drug Substance: Control of Drug Substance section,Labeling,450,350,350,350,Y,9.0,Describes specifications and analytical methods,0
151,47,3.2.S.4 Drug Substance: Control of Drug Substance section,Other function,450,350,350,350,Y,9.0,Describes specifications and analytical methods,0
152,47,3.2.S.4 Drug Substance: Control of Drug Substance section,Regulatory CMC,450,350,350,350,Y,9.0,Describes specifications and analytical methods,0
153,47,3.2.S.4 Drug Substance: Control of Drug Substance section,Regulatory Operations,450,350,350,350,Y,9.0,Describes specifications and analytical methods,0
154,47,3.2.S.4 Drug Substance: Control of Drug Substance section,Regulatory Strategist (Global/EU),450,350,350,350,Y,9.0,Describes specifications and analytical methods,0
155,48,3.2.S.5 Drug Substance: Reference Standards section,Labeling,450,350,350,350,Y,1.4,Describes reference standards and materials,0
156,48,3.2.S.5 Drug Substance: Reference Standards section,Other function,450,350,350,350,Y,1.4,Describes reference standards and materials,0
157,48,3.2.S.5 Drug Substance: Reference Standards section,Regulatory CMC,450,350,350,350,Y,1.4,Describes reference standards and materials,0
158,48,3.2.S.5 Drug Substance: Reference Standards section,Regulatory Operations,450,350,350,350,Y,1.4,Describes reference standards and materials,0
159,48,3.2.S.5 Drug Substance: Reference Standards section,Regulatory Strategist (Global/EU),450,350,350,350,Y,1.4,Describes reference standards and materials,0
160,49,3.2.S.6 Drug Substance: Container Closure System section,Labeling,450,350,350,350,Y,1.4,Describes container closure for substance,0
161,49,3.2.S.6 Drug Substance: Container Closure System section,Other function,450,350,350,350,Y,1.4,Describes container closure for substance,0
162,49,3.2.S.6 Drug Substance: Container Closure System section,Regulatory CMC,450,350,350,350,Y,1.4,Describes container closure for substance,0
163,49,3.2.S.6 Drug Substance: Container Closure System section,Regulatory Operations,450,350,350,350,Y,1.4,Describes container closure for substance,0
164,49,3.2.S.6 Drug Substance: Container Closure System section,Regulatory Strategist (Global/EU),450,350,350,350,Y,1.4,Describes container closure for substance,0
165,50,3.2.S.7 Drug Substance: Stability section,Labeling,450,350,350,350,Y,6.0,Presents stability data and conclusions,0
166,50,3.2.S.7 Drug Substance: Stability section,Other function,450,350,350,350,Y,6.0,Presents stability data and conclusions,0
167,50,3.2.S.7 Drug Substance: Stability section,Regulatory CMC,450,350,350,350,Y,6.0,Presents stability data and conclusions,0
168,50,3.2.S.7 Drug Substance: Stability section,Regulatory Operations,450,350,350,350,Y,6.0,Presents stability data and conclusions,0
169,50,3.2.S.7 Drug Substance: Stability section,Regulatory Strategist (Global/EU),450,350,350,350,Y,6.0,Presents stability data and conclusions,0
170,51,3.2.P.1 Drug Product: Description and Composition section,Labeling,450,350,350,350,Y,1.4,Describes composition and presentation of product,0
171,51,3.2.P.1 Drug Product: Description and Composition section,Other function,450,350,350,350,Y,1.4,Describes composition and presentation of product,0
172,51,3.2.P.1 Drug Product: Description and Composition section,Regulatory CMC,450,350,350,350,Y,1.4,Describes composition and presentation of product,0
173,51,3.2.P.1 Drug Product: Description and Composition section,Regulatory Operations,450,350,350,350,Y,1.4,Describes composition and presentation of product,0
174,51,3.2.P.1 Drug Product: Description and Composition section,Regulatory Strategist (Global/EU),450,350,350,350,Y,1.4,Describes composition and presentation of product,0
175,52,3.2.P.2 Drug Product: Pharmaceutical Development section,Labeling,450,350,350,350,Y,12.0,Justifies formulation and manufacturing development,0
176,52,3.2.P.2 Drug Product: Pharmaceutical Development section,Other function,450,350,350,350,Y,12.0,Justifies formulation and manufacturing development,0
177,52,3.2.P.2 Drug Product: Pharmaceutical Development section,Regulatory CMC,450,350,350,350,Y,12.0,Justifies formulation and manufacturing development,0
178,52,3.2.P.2 Drug Product: Pharmaceutical Development section,Regulatory Operations,450,350,350,350,Y,12.0,Justifies formulation and manufacturing development,0
179,52,3.2.P.2 Drug Product: Pharmaceutical Development section,Regulatory Strategist (Global/EU),450,350,350,350,Y,12.0,Justifies formulation and manufacturing development,0
180,53,3.2.P.3 Drug Product: Manufacture section,Labeling,450,350,350,350,Y,6.0,Describes manufacturing process and controls,0
181,53,3.2.P.3 Drug Product: Manufacture section,Other function,450,350,350,350,Y,6.0,Describes manufacturing process and controls,0
182,53,3.2.P.3 Drug Product: Manufacture section,Regulatory CMC,450,350,350,350,Y,6.0,Describes manufacturing process and controls,0
183,53,3.2.P.3 Drug Product: Manufacture section,Regulatory Operations,450,350,350,350,Y,6.0,Describes manufacturing process and controls,0
184,53,3.2.P.3 Drug Product: Manufacture section,Regulatory Strategist (Global/EU),450,350,350,350,Y,6.0,Describes manufacturing process and controls,0
185,54,3.2.P.4 Drug Product: Control of Excipients section,Labeling,450,350,350,350,Y,2.0,Describes excipient specifications and quality,0
186,54,3.2.P.4 Drug Product: Control of Excipients section,Other function,450,350,350,350,Y,2.0,Describes excipient specifications and quality,0
187,54,3.2.P.4 Drug Product: Control of Excipients section,Regulatory CMC,450,350,350,350,Y,2.0,Describes excipient specifications and quality,0
188,54,3.2.P.4 Drug Product: Control of Excipients section,Regulatory Operations,450,350,350,350,Y,2.0,Describes excipient specifications and quality,0
189,54,3.2.P.4 Drug Product: Control of Excipients section,Regulatory Strategist (Global/EU),450,350,350,350,Y,2.0,Describes excipient specifications and quality,0
190,55,3.2.P.5 Drug Product: Control of Drug Product section,Labeling,450,350,350,350,Y,9.0,Defines product specifications and methods,0
191,55,3.2.P.5 Drug Product: Control of Drug Product section,Other function,450,350,350,350,Y,9.0,Defines product specifications and methods,0
192,55,3.2.P.5 Drug Product: Control of Drug Product section,Regulatory CMC,450,350,350,350,Y,9.0,Defines product specifications and methods,0
193,55,3.2.P.5 Drug Product: Control of Drug Product section,Regulatory Operations,450,350,350,350,Y,9.0,Defines product specifications and methods,0
194,55,3.2.P.5 Drug Product: Control of Drug Product section,Regulatory Strategist (Global/EU),450,350,350,350,Y,9.0,Defines product specifications and methods,0
195,56,3.2.P.6 Drug Product: Reference Standards section,Labeling,450,350,350,350,Y,1.0,Describes product reference standards,0
196,56,3.2.P.6 Drug Product: Reference Standards section,Other function,450,350,350,350,Y,1.0,Describes product reference standards,0
197,56,3.2.P.6 Drug Product: Reference Standards section,Regulatory CMC,450,350,350,350,Y,1.0,Describes product reference standards,0
198,56,3.2.P.6 Drug Product: Reference Standards section,Regulatory Operations,450,350,350,350,Y,1.0,Describes product reference standards,0
199,56,3.2.P.6 Drug Product: Reference Standards section,Regulatory Strategist (Global/EU),450,350,350,350,Y,1.0,Describes product reference standards,0
200,57,3.2.P.7 Drug Product: Container Closure System section,Labeling,450,350,350,350,Y,1.4,Describes container closure for product,0
201,57,3.2.P.7 Drug Product: Container Closure System section,Other function,450,350,350,350,Y,1.4,Describes container closure for product,0
202,57,3.2.P.7 Drug Product: Container Closure System section,Regulatory CMC,450,350,350,350,Y,1.4,Describes container closure for product,0
203,57,3.2.P.7 Drug Product: Container Closure System section,Regulatory Operations,450,350,350,350,Y,1.4,Describes container closure for product,0
204,57,3.2.P.7 Drug Product: Container Closure System section,Regulatory Strategist (Global/EU),450,350,350,350,Y,1.4,Describes container closure for product,0
205,58,3.2.P.8 Drug Product: Stability section,Labeling,450,350,350,350,Y,6.0,Presents product stability data and conclusions,0
206,58,3.2.P.8 Drug Product: Stability section,Other function,450,350,350,350,Y,6.0,Presents product stability data and conclusions,0
207,58,3.2.P.8 Drug Product: Stability section,Regulatory CMC,450,350,350,350,Y,6.0,Presents product stability data and conclusions,0
208,58,3.2.P.8 Drug Product: Stability section,Regulatory Operations,450,350,350,350,Y,6.0,Presents product stability data and conclusions,0
209,58,3.2.P.8 Drug Product: Stability section,Regulatory Strategist (Global/EU),450,350,350,350,Y,6.0,Presents product stability data and conclusions,0
210,59,3.2.A.1 Appendices: Facilities and Equipment,Labeling,450,350,350,350,Y,2.8,Provides facility and equipment descriptions,0
211,59,3.2.A.1 Appendices: Facilities and Equipment,Other function,450,350,350,350,Y,2.8,Provides facility and equipment descriptions,0
212,59,3.2.A.1 Appendices: Facilities and Equipment,Regulatory CMC,450,350,350,350,Y,2.8,Provides facility and equipment descriptions,0
213,59,3.2.A.1 Appendices: Facilities and Equipment,Regulatory Operations,450,350,350,350,Y,2.8,Provides facility and equipment descriptions,0
214,59,3.2.A.1 Appendices: Facilities and Equipment,Regulatory Strategist (Global/EU),450,350,350,350,Y,2.8,Provides facility and equipment descriptions,0
215,60,3.2.A.2 Appendices: Adventitious Agents Safety,Labeling,450,350,350,350,Y,6.0,Assesses adventitious agent safety controls,0
216,60,3.2.A.2 Appendices: Adventitious Agents Safety,Other function,450,350,350,350,Y,6.0,Assesses adventitious agent safety controls,0
217,60,3.2.A.2 Appendices: Adventitious Agents Safety,Regulatory CMC,450,350,350,350,Y,6.0,Assesses adventitious agent safety controls,0
218,60,3.2.A.2 Appendices: Adventitious Agents Safety,Regulatory Operations,450,350,350,350,Y,6.0,Assesses adventitious agent safety controls,0
219,60,3.2.A.2 Appendices: Adventitious Agents Safety,Regulatory Strategist (Global/EU),450,350,350,350,Y,6.0,Assesses adventitious agent safety controls,0
220,61,3.2.R Regional Information section completed,Labeling,450,350,350,350,Y,2.0,Includes regional European quality information,0
221,61,3.2.R Regional Information section completed,Other function,450,350,350,350,Y,2.0,Includes regional European quality information,0
222,61,3.2.R Regional Information section completed,Regulatory CMC,450,350,350,350,Y,2.0,Includes regional European quality information,0
223,61,3.2.R Regional Information section completed,Regulatory Operations,450,350,350,350,Y,2.0,Includes regional European quality information,0
224,61,3.2.R Regional Information section completed,Regulatory Strategist (Global/EU),450,350,350,350,Y,2.0,Includes regional European quality information,0
225,62,Quality Overall Summary – Introduction (Module 2.3.1),Regulatory Strategist (Global/EU),400,350,350,350,Y,0.6,Introduces quality overall summary structure,0
226,63,Quality Overall Summary – Drug Substance (Module 2.3.S),Regulatory Strategist (Global/EU),400,350,350,350,Y,3.0,Summarises quality information for substance,0
227,64,Quality Overall Summary – Drug Product (Module 2.3.P),Regulatory Strategist (Global/EU),400,350,350,350,Y,3.0,Summarises quality information for product,0
228,65,Quality Overall Summary – Appendices (Module 2.3.A),Regulatory Strategist (Global/EU),400,350,350,350,Y,1.0,Summarises quality appendices content,0
229,66,Quality Overall Summary – Regional Information (Module 2.3.R),Regulatory Strategist (Global/EU),400,350,350,350,Y,1.0,Summarises quality regional information,0
230,67,Company Core Data Sheet (CCDS) finalized,Regulatory Operations,700,600,640,650,Y,12.0,Company core data sheet is finalized aligned with global labeling and serves as the reference for SmPC and PI,0
231,68,Risk Management Plan (RMP),Labeling,150,120,120,120,Y,12.0,Risk management plan is prepared reviewed and finalized with mitigation measures defined and endorsed,0
232,68,Risk Management Plan (RMP),Other function,150,120,120,120,Y,12.0,Risk management plan is prepared reviewed and finalized with mitigation measures defined and endorsed,0
233,68,Risk Management Plan (RMP),Regulatory Operations,150,120,120,120,Y,12.0,Risk management plan is prepared reviewed and finalized with mitigation measures defined and endorsed,0
234,68,Risk Management Plan (RMP),Regulatory Strategist (Global/EU),150,120,120,120,Y,12.0,Risk management plan is prepared reviewed and finalized with mitigation measures defined and endorsed,0
235,69,EU SmPC (Product Information) draft,Regulatory Strategist (Global/EU),150,120,120,120,Y,9.0,Draft SmPC is prepared based on CCDS and aligned with EMA guidance before final review,0
88,24,Messaging alignment meeting 1,Global Regulatory Lead,420,1,1,1,Y,1.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
88,24,Messaging alignment meeting 1,Management,420,1,1,1,Y,1.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
89,24,Messaging alignment meeting 1,Labeling,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
90,24,Messaging alignment meeting 1,Other function,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
91,24,Messaging alignment meeting 1,Regulatory CMC,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
92,24,Messaging alignment meeting 1,Regulatory Strategist (Global/EU),420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
93,25,Messaging alignment meeting 2,Global Regulatory Lead,300,1,1,1,Y,1.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
94,25,Messaging alignment meeting 2,Labeling,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
95,25,Messaging alignment meeting 2,Other function,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
96,25,Messaging alignment meeting 2,Regulatory CMC,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
97,25,Messaging alignment meeting 2,Regulatory Operations,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
98,25,Messaging alignment meeting 2,Regulatory Strategist (Global/EU),300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
247,72,Application Form (eAF) completed,Regulatory Strategist (Global/EU),180,159,159,159,Y,5.6,Electronic application form is completed validated and ready for inclusion in the submission package,0
248,73,Cover Letter for MAA submission,Regulatory Operations,180,159,159,159,Y,1.0,Cover letter is drafted finalized and prepared for inclusion in the MAA submission sequence,0
249,73,Cover Letter for MAA submission,Regulatory Strategist (Global/EU),180,159,159,159,Y,1.0,Cover letter is drafted finalized and prepared for inclusion in the MAA submission sequence,0
99,26,Product Artwork and Mock-ups,Labeling,130,109,109,109,Y,6.0,Product artwork and mock ups are developed checked and approved in line with CCDS and QRD templates,0
99,26,Product Artwork and Mock-ups,Regulatory Strategist (Global/EU),130,109,109,109,Y,6.0,Product artwork and mock ups are developed checked and approved in line with CCDS and QRD templates,0
99,26,Product Artwork and Mock-ups,Other function,130,109,109,109,Y,6.0,Product artwork and mock ups are developed checked and approved in line with CCDS and QRD templates,0
100,27,Compilation of eCTD dossier,Regulatory Operations,130,99,99,99,Y,2.8,Full eCTD sequence is compiled validated and prepared for submission according to technical standards,0
101,28,Final internal review and sign-off,Global Regulatory Lead,31,5,5,5,Y,4.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
102,28,Final internal review and sign-off,Labeling,31,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
103,28,Final internal review and sign-off,Other function,31,5,5,5,Y,2.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
104,28,Final internal review and sign-off,Regulatory CMC,31,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
105,28,Final internal review and sign-off,Regulatory Operations,31,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
105,28,Final internal review and sign-off,Regulatory Strategist (Global/EU),31,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
106,29,Validation of dispatch of MAA to EMA,Regulatory Operations,26,1,1,1,Y,2.0,Validation step confirms readiness of submission package five days before official dispatch,1
107,30,dispatch of MAA to EMA,Regulatory Operations,21,1,1,1,Y,0.2,Marketing authorisation application is officially dispatched to EMA as planned submission,1
108,31,EMA confirmation of submission receipt,EMA,0,1,1,1,Y,0.2,EMA confirms receipt of submission package approximately thirty days after dispatch,1
